Gender,Age at enrollment,Displaced,International,Mother's qualification,Father's qualification,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,Unemployment rate,Inflation rate,GDP,Application order,Daytime/evening attendance,Previous qualification (grade),Admission grade,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Marital status_2,Marital status_3,Marital status_4,Marital status_5,Marital status_6,Nacionality_2,Nacionality_6,Nacionality_11,Nacionality_13,Nacionality_14,Nacionality_17,Nacionality_22,Nacionality_24,Nacionality_25,Nacionality_26,Nacionality_41,Nacionality_62,Nacionality_100,Nacionality_101,Nacionality_103,Nacionality_105,Nacionality_109,Mother's occupation_1,Mother's occupation_2,Mother's occupation_3,Mother's occupation_4,Mother's occupation_5,Mother's occupation_6,Mother's occupation_7,Mother's occupation_8,Mother's occupation_9,Mother's occupation_10,Mother's occupation_90,Mother's occupation_99,Mother's occupation_123,Mother's occupation_125,Mother's occupation_132,Mother's occupation_134,Mother's occupation_141,Mother's occupation_143,Mother's occupation_144,Mother's occupation_151,Mother's occupation_152,Mother's occupation_153,Mother's occupation_171,Mother's occupation_175,Mother's occupation_191,Mother's occupation_192,Mother's occupation_193,Mother's occupation_194,Father's occupation_1,Father's occupation_2,Father's occupation_3,Father's occupation_4,Father's occupation_5,Father's occupation_6,Father's occupation_7,Father's occupation_8,Father's occupation_9,Father's occupation_10,Father's occupation_90,Father's occupation_99,Father's occupation_102,Father's occupation_103,Father's occupation_112,Father's occupation_114,Father's occupation_122,Father's occupation_123,Father's occupation_124,Father's occupation_131,Father's occupation_135,Father's occupation_141,Father's occupation_143,Father's occupation_144,Father's occupation_151,Father's occupation_153,Father's occupation_154,Father's occupation_163,Father's occupation_171,Father's occupation_172,Father's occupation_174,Father's occupation_175,Father's occupation_181,Father's occupation_182,Father's occupation_183,Father's occupation_192,Father's occupation_193,Father's occupation_194,Application mode_2,Application mode_5,Application mode_7,Application mode_10,Application mode_15,Application mode_16,Application mode_17,Application mode_18,Application mode_26,Application mode_39,Application mode_42,Application mode_43,Application mode_44,Application mode_51,Application mode_53,Application mode_57,Course_171,Course_8014,Course_9003,Course_9070,Course_9085,Course_9119,Course_9130,Course_9147,Course_9238,Course_9254,Course_9500,Course_9556,Course_9670,Course_9773,Course_9853,Course_9991,Previous qualification_2,Previous qualification_3,Previous qualification_4,Previous qualification_5,Previous qualification_6,Previous qualification_9,Previous qualification_10,Previous qualification_12,Previous qualification_15,Previous qualification_19,Previous qualification_38,Previous qualification_39,Previous qualification_40,Previous qualification_42,Previous qualification_43
0,26,0,0,19,37,0,1,1,0,16.2,0.3,-0.92,1,1,151.0,151.0,0,5,6,0,0.0,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,True,False,False,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,True,False,False,0
1,19,0,0,1,1,0,0,1,0,9.4,-0.8,-3.12,1,1,124.0,118.8,0,6,12,4,12.25,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
1,30,0,0,12,36,0,0,0,1,9.4,-0.8,-3.12,1,1,133.1,128.2,0,5,13,0,0.0,3,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,True,False,False,False,False,False,False,False,0
0,21,0,0,3,1,0,0,1,0,9.4,-0.8,-3.12,2,1,112.0,111.0,0,6,8,5,13.2,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,19,0,0,1,3,0,0,1,0,9.4,-0.8,-3.12,2,1,135.0,133.3,0,5,5,5,13.0,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,18,1,0,12,1,0,0,1,0,7.6,2.6,0.32,3,1,133.1,134.8,0,6,12,0,0.0,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
1,23,1,0,19,37,0,0,1,0,8.9,1.4,3.51,1,1,130.0,130.0,0,6,8,6,12.571428571428571,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,True,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,True,False,False,0
1,27,0,0,1,19,0,0,1,0,16.2,0.3,-0.92,1,1,130.0,130.0,0,6,8,0,0.0,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,0,False,False,False,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,False,False,False,False,False,False,False,False,False,False,0
0,18,1,0,37,1,0,0,1,1,7.6,2.6,0.32,2,1,145.0,138.8,0,7,7,6,12.95,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
1,42,0,0,19,38,0,0,1,0,11.1,0.6,2.02,1,0,110.0,110.0,8,12,12,11,14.454545454545457,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,True,False,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,19,1,0,19,38,0,0,1,0,9.4,-0.8,-3.12,2,1,136.0,140.9,0,6,6,6,14.333333333333334,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
1,28,0,0,37,1,0,0,1,0,11.1,0.6,2.02,1,1,133.1,130.0,0,6,6,0,0.0,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,True,False,False,False,False,False,False,0
1,25,0,1,2,37,0,1,0,0,15.5,2.8,-4.06,1,1,130.0,130.0,0,5,6,0,0.0,0,False,0,False,False,False,False,False,False,0,0,0,True,0,0,False,False,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,True,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,True,False,False,0
0,20,1,0,1,1,0,0,1,0,8.9,1.4,3.51,3,1,145.0,140.1,6,12,12,12,13.25,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
1,19,1,0,38,37,0,0,0,0,10.8,1.4,1.74,3,1,128.0,116.8,0,6,10,4,12.0,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,39,1,0,19,19,0,0,1,0,7.6,2.6,0.32,1,0,120.0,113.9,0,5,8,5,11.0,0,False,0,True,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,27,0,0,37,37,0,0,1,0,7.6,2.6,0.32,1,0,133.1,126.5,0,5,5,2,10.5,0,True,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,True,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,19,0,0,37,37,0,0,1,0,10.8,1.4,1.74,1,1,102.0,102.0,0,6,8,5,11.8,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
1,19,0,0,1,1,0,0,0,0,9.4,-0.8,-3.12,1,1,130.0,119.5,0,5,5,0,0.0,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,19,1,0,3,3,0,0,1,0,13.9,-0.3,0.79,1,1,140.0,140.0,0,6,8,4,14.4,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,True,False,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,True,False,False,0
1,19,1,0,38,38,0,0,1,1,12.4,0.5,1.79,2,1,126.0,129.9,0,6,6,6,13.666666666666666,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,20,1,0,19,38,0,0,1,1,12.7,3.7,-1.7,1,1,118.0,116.3,0,7,10,7,11.88888888888889,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
1,23,1,0,19,19,0,0,1,0,9.4,-0.8,-3.12,2,1,140.0,127.8,0,5,7,3,10.666666666666666,1,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,18,1,0,19,38,0,0,1,1,15.5,2.8,-4.06,1,1,142.0,128.4,0,7,9,7,13.3,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,22,1,0,38,37,0,0,1,1,16.2,0.3,-0.92,2,1,139.0,123.7,0,5,8,4,12.0,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,23,1,0,1,1,0,0,1,0,12.4,0.5,1.79,1,1,121.0,116.8,15,17,18,17,11.5,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
0,18,0,0,37,37,0,0,1,0,7.6,2.6,0.32,2,1,133.1,111.5,0,6,11,3,12.333333333333334,0,False,0,False,False,False,False,False,False,0,0,0,False,0,0,False,False,0,False,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0,0,0,0,0,0,0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0
